f,g,C
"(566, 792, 538021659.8492472)","(552, 167, 420703099.94964945)",0.9712400440289742

"(576, 981, 535326870.72543573)","(554, 351, 457254005.9262316)",0.9855079683559415

"(643, 932, 535192763.89176613)","(621, 306, 369642591.0243766)",0.8676459170938964

"(710, 797, 529351791.1697488)","(696, 174, 427168408.5274534)",0.9796109254788512

"(568, 124, 528975460.5568527)","(474, 978, 553769445.8903456)",0.7436252093379744

"(299, 555, 528772138.84371287)","(474, 560, 290582993.69388545)",0.8787856541563551

"(610, 951, 522176044.60197365)","(588, 323, 371499656.26076514)",0.9679063424705772

"(636, 937, 521308761.56499904)","(614, 311, 453884158.7911554)",0.8073209788310902

"(602, 756, 513830289.6321585)","(590, 131, 316938208.2075334)",0.9686356347109766

"(552, 139, 509981335.2980634)","(507, 647, 282693124.21339566)",0.5499503313999304

"(360, 793, 507539097.04735905)","(346, 164, 407539239.29745406)",0.9717444616108084

"(610, 651, 507186364.2696505)","(604, 23, 398019266.90352064)",0.9747499687935173

"(422, 659, 504219147.24648845)","(411, 28, 526198122.80387974)",0.9878835706128652

"(360, 814, 497721517.1618634)","(346, 186, 436611662.03297186)",0.9565430613398404

"(380, 800, 497521333.3580549)","(366, 172, 448023550.77294445)",0.9954324266170201

"(434, 961, 491146738.17999065)","(416, 330, 416754975.89296865)",0.9654891658119109

"(394, 522, 490113325.25222754)","(685, 500, 453386854.3256864)",0.6741819598717949

"(599, 809, 489444608.07326156)","(585, 185, 360009448.2866968)",0.959052872057935

"(589, 891, 486928701.3736366)","(571, 266, 296413695.41092277)",0.965339652677737

"(569, 930, 483542079.2938348)","(549, 303, 352334158.24400413)",0.9935450727758482

"(609, 941, 483507982.5347317)","(588, 314, 326627230.4064431)",0.9837723948824783

"(552, 988, 482569281.1273874)","(530, 358, 278760120.39289194)",0.9456405232190331

"(591, 817, 482129649.71081495)","(577, 193, 313377811.147635)",0.9001063476200437

"(670, 431, 481954846.1710329)","(457, 656, 1100508704.7299235)",0.8179195760653165

"(432, 780, 476565962.8329633)","(418, 153, 560272800.1679099)",0.975279660927735

"(364, 794, 472911585.2540126)","(350, 165, 447784027.1355659)",0.9745367631699535

"(573, 982, 469724445.7408718)","(551, 351, 403772301.4978175)",0.951024822650516

"(712, 169, 468141435.7906698)","(436, 396, 1102326893.5260737)",0.6638493357322585

"(413, 973, 466797363.2981825)","(396, 341, 329155789.7434447)",0.9715205231891738

"(409, 971, 466420312.7634677)","(392, 338, 443562353.48159534)",0.8425651147082394

"(364, 887, 465408525.3607037)","(349, 258, 318804624.1850308)",0.990548403518907

"(386, 797, 463261627.58018017)","(372, 169, 318072544.47881436)",0.9927026460936555

"(562, 904, 462845669.8480188)","(543, 277, 359310947.1790137)",0.9423693634826226

"(408, 665, 462702006.3073261)","(397, 33, 481474836.1288835)",0.8392905881078083

"(494, 848, 459452299.4627747)","(479, 222, 403353157.25142217)",0.9514472942221603

"(433, 948, 454759919.1147834)","(416, 318, 419146312.02055997)",0.9900449076828473

"(429, 776, 453152385.6909925)","(415, 149, 431708172.1167386)",0.9627151884534989

"(380, 827, 445484425.5628002)","(365, 199, 358931449.20676476)",0.9441608251707917

"(381, 797, 444985232.58218086)","(367, 169, 316454704.77744865)",0.9948996328174351

"(397, 386, 444676637.5148975)","(710, 456, 648213444.1688632)",0.6530672660623053

"(617, 727, 442332211.948806)","(607, 102, 421729752.25197697)",0.9876256028394595

"(608, 808, 441132190.3554261)","(593, 184, 355980446.1416964)",0.9264707454126613

"(647, 979, 436465564.0616108)","(623, 350, 379779383.0124328)",0.9582337273460624

"(523, 992, 435273026.15951395)","(502, 361, 337647616.35731983)",0.8613784034485854

"(430, 866, 431826402.0362953)","(414, 238, 345810245.166566)",0.8871779978647283

"(481, 969, 425640886.99630296)","(462, 338, 465755608.72970146)",0.9801134876103764

"(614, 780, 425166101.34568477)","(601, 156, 337941239.49691063)",0.9920454985931038

"(385, 837, 417776287.4380703)","(370, 209, 426166077.18610966)",0.9855015433715527

"(354, 798, 417702972.1829134)","(340, 170, 336889701.338316)",0.9737431114322367

"(438, 751, 410872147.9018326)","(425, 124, 460931497.77966607)",0.9534752854667353

"(601, 802, 410494837.8926611)","(586, 177, 286852442.8341563)",0.8856692216500215

"(594, 803, 406840151.4569683)","(580, 179, 276978751.56384647)",0.9637222172821032

"(583, 947, 401035103.1916228)","(562, 319, 324835821.37908024)",0.9916162985258793

"(664, 122, 400975150.4165478)","(374, 253, 251223009.99185228)",0.7298326737887876

"(441, 51, 397415003.81252563)","(556, 548, 1658533529.8868961)",0.7090886108907816

"(371, 724, 397315317.86121726)","(358, 94, 427494699.57671845)",0.9882850892916536

"(620, 950, 395428845.1324719)","(598, 322, 258442616.96710014)",0.9665464538959312

"(435, 197, 393604711.7632506)","(441, 392, 1390625104.1331544)",0.9030419254661612

"(365, 511, 389562269.7893671)","(372, 194, 556752956.3107369)",0.6937104628233635

