426,317,4836422066.672436
509,580,3020363816.5308905
448,348,2949330832.088838
449,864,2735320313.815251
446,346,2683557114.9797363
718,849,2588406073.6214066
443,953,2533836844.4380183
446,372,2402911276.5575147
443,344,2390407675.187277
425,99,2390249128.9875684
459,893,2377409633.6495085
446,358,2373139652.9873276
511,578,2355816669.56809
460,849,2349330374.669161
567,484,2248417162.6695614
568,304,2236971442.0916204
422,99,2208176663.7473145
443,838,2055973981.7930436
498,400,2032567945.2243643
667,637,2011538090.4359288
466,405,1978894539.3712897
491,436,1940908988.4852412
466,995,1870874500.6087441
443,869,1860732806.9937444
617,738,1825887257.894671
523,565,1796347842.1444702
591,585,1794620509.9776673
316,54,1794069988.577282
699,956,1767480824.135539
486,977,1763534782.9197993
496,978,1689591188.8002076
457,858,1662327954.5186577
556,548,1658533529.8868961
464,887,1619354785.379641
358,172,1618070831.4870121
453,869,1612161449.026155
423,97,1592879977.848621
560,589,1583681488.2288902
510,570,1567863948.8376958
437,414,1563058455.5927362
501,853,1553677179.7347755
587,536,1523976163.3254268
466,848,1509237962.120727
456,804,1493104077.0367627
569,473,1470109350.1139984
513,823,1463817000.3439643
437,352,1419575252.7804828
514,562,1416038350.6391463
652,527,1406972141.4576383
484,439,1404405862.480639
375,191,1400698727.3467276
425,694,1399193361.9515607
591,583,1395276780.291333
441,392,1390625104.1331544
464,825,1387281771.5103767
418,202,1383838178.526616
607,536,1383115911.5502706
561,433,1348775576.6318529
440,971,1311921752.6922271
532,969,1307851221.0712225
609,538,1307629968.9484842
452,655,1271892143.8415956
567,308,1263873342.511775
583,485,1256260759.608523
585,530,1229277577.7869
323,97,1227640098.3413463
436,398,1223332086.114762
512,522,1218343646.8555505
484,403,1216864118.712203
608,191,1208377880.857072
506,568,1205671483.8879473
486,980,1204140916.2650814
447,910,1203447328.256973
568,475,1202823698.73379
383,94,1194203611.0412927
458,966,1189966412.432447
502,855,1186683714.256667
429,354,1166436912.4165168
469,993,1155042937.3773506
446,930,1149058875.7865002
673,530,1147190041.9184413
497,848,1146099211.6611242
575,488,1139965413.978294
512,571,1139049761.001597
479,427,1127521750.0795612
530,577,1121258498.7733066
529,343,1116782959.0678053
511,564,1111452270.961128
437,400,1102397867.7229006
436,396,1102326893.5260737
518,576,1101819744.3261042
457,656,1100508704.7299235
506,652,1096506160.6751504
338,166,1082231046.7412808
567,430,1077450556.3866584
546,312,1073336074.6980622
409,508,1072574787.4107146
528,571,1071472787.8522614
574,578,1070670295.1323028
542,159,1062989875.5688238
418,714,1058789523.8916513
559,561,1058634864.2724944
555,554,1055105667.4878118
490,456,1052113164.6367096
460,852,1047047398.5640979
501,399,1046180261.9811628
495,847,1040916925.7987239
465,803,1038921913.2853985
423,315,1035547753.195712
592,313,1024796786.7701204
380,94,1023921401.0127735
481,414,1022047900.0127321
524,748,1015265836.3313503
553,570,1013105342.7050054
438,368,1008091147.1184909
470,991,1005248832.2482858
557,323,1004779361.5346985
517,574,1003307397.4852855
483,434,1001312896.702121
453,918,1000721740.6538618
454,963,998315680.3888555
707,463,997101849.5618365
502,367,993216166.8864127
425,322,991033471.1020937
320,100,990483247.1225374
681,529,988130408.9004787
505,581,978855065.4616694
498,359,963413895.3493944
336,169,959050290.7444333
442,361,957304660.2431197
401,446,953415465.3190266
457,875,946042671.0168663
513,806,941334060.4776976
544,565,935901346.5687782
384,23,933349233.2380577
388,493,915903183.0799096
502,816,914329009.8823957
448,936,904520216.8112743
355,85,897527889.5994871
499,809,890115452.8311813
615,731,886575739.276222
586,605,886490730.4510078
478,436,885916184.787221
577,588,881417613.4137475
439,836,877892401.7611585
419,133,875512181.8358573
407,4,872647972.6030991
454,909,871877182.656665
334,113,871519634.7494097
516,565,871037136.8595047
435,971,870856830.8162247
608,184,868083190.4371494
476,418,866379616.9253463
447,362,865779929.409035
605,631,864828873.9066035
480,977,864299925.4052414
488,453,860472677.420872
434,370,858893595.4688233
408,530,856682347.6322027
338,113,849707654.8941798
649,622,848861999.2957644
591,531,846509446.27469
692,534,830617589.7950665
623,569,829143761.0420951
509,413,823741949.1371067
480,407,822251427.9482837
457,799,817448715.0847108
353,25,817424442.614756
578,478,812767599.628057
543,156,807403740.7802607
509,592,806220744.4522104
341,113,804104318.5801425
451,982,800806274.0253048
483,971,797895035.8473203
617,895,796348592.1984481
499,956,794657182.4172863
530,362,784937147.0226061
509,560,784696733.29163
412,728,772365621.9059016
434,537,772058988.6603724
695,958,763585607.4405521
484,446,762124594.3242135
421,315,759712664.7139369
510,397,758092533.9992766
541,733,753055749.4028513
452,878,742540796.1936488
367,23,741618612.8345087
526,569,740529055.56394
484,973,737954263.2628951
507,819,736457154.0642569
602,590,735030718.0533571
511,519,733537589.8159084
424,115,731836063.5803396
635,540,731138683.1944935
462,727,729615640.1672127
480,916,727962244.0865202
585,611,726493446.9418225
578,620,726094022.1415335
402,513,721876403.7335514
454,830,721471837.287511
434,950,720812894.8922411
536,966,719833361.4752796
441,963,716743554.107226
