y,x,NCC
370,209,437722295.6320379
462,338,470023497.99216926
425,124,479374891.3721432
340,170,343016318.4908615
580,179,283221303.5704464
374,253,257733504.9752437
556,548,1703920274.1814227
562,319,327670523.92591846
586,177,283774512.759827
358,94,437640154.50933963
441,392,1415441058.953739
598,322,262524436.50805667
271,62,345992545.4301603
642,310,332218039.4003471
374,253,257733504.9752437
339,39,347439704.3025243
436,398,1244874728.2026644
442,275,280646616.89854175
424,108,381353289.0325612
316,241,415361764.19021857
461,342,281666182.9785996
311,84,335910384.8268597
355,259,280963742.65859234
531,333,249814702.44385862
411,298,284438989.929285
601,116,403196749.3114917
538,282,378528413.0946776
578,182,286619616.98140156
634,551,246869991.8791854
403,43,355957134.5393654
593,130,296536771.6496735
565,164,272975538.7312416
326,192,371019571.20231456
575,125,343908718.5448476
528,39,326844119.24875206
328,225,282805467.7912051
320,100,1009762296.4493028
360,24,535200861.09931576
325,187,285512659.860044
378,120,384620018.25288564
359,290,289970167.404211
509,198,298803640.9809275
396,257,325983804.8039911
455,228,261267076.91992253
330,153,407173627.0026687
635,459,236244385.06330493
696,174,440086500.8324548
388,236,275483929.1542945
536,350,241432365.7563643
422,84,399466482.36948085
339,238,365286341.4843651
376,165,300367981.6620869
290,118,301677320.53465617
572,123,258377017.60515282
720,144,228145232.61184618
581,212,304343467.95179164
583,485,1274008566.0919895
323,87,387508446.8486184
457,42,377372475.89678884
373,332,287732763.6911194
365,289,307041909.70780736
415,154,275604264.397888
404,297,237314751.6573062
639,537,321120783.4560456
562,162,272558266.2907995
280,172,289728435.32198745
457,656,1134986679.7785797
412,42,338651290.04090816
463,858,480944564.6832591
556,548,1703920274.1814227
474,131,320839135.29429513
349,141,260230588.30774236
373,166,303082221.84026515
533,358,262312925.10243604
368,293,238684701.5584172
266,69,243759653.85392806
338,156,228443282.13502106
264,60,296433743.5622648
410,159,263763615.5153699
377,158,324078205.90969324
582,185,297720441.07623947
489,20,230497997.8256313
412,132,300083173.883255
611,171,233966440.1491577
408,157,294741311.42453605
364,271,247558842.54377887
566,179,250935936.5128239
298,39,302517932.83228016
398,343,273838952.3938384
362,327,301435233.8776139
678,172,250356143.19384292
381,85,231497526.18061426
654,88,241004459.85904974
439,15,276157928.816715
352,286,274524359.1699043
374,315,257907689.3155192
631,63,324337477.20714957
356,135,342078935.280301
433,67,303598971.5349159
471,14,317267777.6724868
342,135,231379456.22693795
519,86,249849269.31296068
690,111,272414500.59388316
351,84,293156727.8077688
512,144,314195453.4564955
593,184,358334831.1888255
450,123,291153528.1440127
353,166,352048538.85472035
380,158,256631157.1318372
456,104,288610893.43139046
285,134,268863159.59265
346,268,712305165.3446842
414,161,260883090.6551222
412,132,300083173.883255
419,160,283090619.6895196
420,332,231911430.52410853
609,423,630889893.2116597
487,191,235852283.6241107
707,450,311451782.1107118
380,94,1046882040.0593045
608,184,881345774.5913892
517,73,273624638.4406068
371,166,346533105.77495086
461,342,281666182.9785996
496,533,324600743.4523866
463,730,630990708.9859712
470,991,987613689.3195329
593,184,358334831.1888255
